date,GDP,EMP_CAN
1994-09-01,0.3154225,0.4693434
1994-10-01,0.0787609,-0.0614901
1994-11-01,0.4160027,0.6841256
1994-12-01,0.6170069,-0.101113
1995-01-01,0.1306205,0.1787648
1995-02-01,-0.00155,-0.0542745
1995-03-01,-0.2708846,0.2124071
1995-04-01,0.1558214,-0.1626543
1995-05-01,0.1274946,-0.0233656
1995-06-01,0.1755472,0.0934298
1995-07-01,0.0373386,0.0180731
1995-08-01,0.2370672,0.1294284
1995-09-01,-0.1750657,0.2508545
1995-10-01,-0.1241607,0.1184488
1995-11-01,0.3734475,-0.2400421
1995-12-01,-0.1935183,0.3134399
1996-01-01,0.4237997,0.132429
1996-02-01,-0.1158464,0.1860021
1996-03-01,-0.2536447,-0.1658165
1996-04-01,0.3957041,0.2008865
1996-05-01,0.2927386,0.1602702
1996-06-01,0.0906556,-0.0946402
1996-07-01,0.3635684,0.2048166
1996-08-01,0.4538106,0.1204595
1996-09-01,0.0869096,-0.3140935
1996-10-01,0.4997257,-0.0119282
1996-11-01,0.5080205,0.2137461
1996-12-01,-0.5383136,0.1798776
1997-01-01,0.8521523,0.5199704
1997-02-01,0.6272541,0.0162518
1997-03-01,-0.0102694,0.2338803
1997-04-01,0.6748507,0.0103165
1997-05-01,0.3541082,0.4851452
1997-06-01,0.1903246,0.3864287
1997-07-01,1.0696818,0.3026824
1997-08-01,0.1255579,0.4896415
1997-09-01,0.1739488,0.1238462
1997-10-01,0.3874575,0.123693
1997-11-01,0.080051,0.1906647
1997-12-01,0.9046583,0.1110534
1998-01-01,-0.4389948,-0.0728198
1998-02-01,0.9749581,0.3578208
1998-03-01,0.3772139,0.2505035
1998-04-01,0.0126335,0.2019552
1998-05-01,-0.2250344,0.1122595
1998-06-01,-0.0835171,0.0892886
1998-07-01,-0.054708,0.4132591
1998-08-01,0.9366064,0.2691237
1998-09-01,0.2599483,0.2761807
1998-10-01,0.3518592,0.132155
1998-11-01,0.2012314,0.2785782
1998-12-01,0.8059237,0.00775
1999-01-01,0.8036726,0.5148695
1999-02-01,0.4207744,-0.0700854
1999-03-01,0.0370122,0.1079112
1999-04-01,0.5040473,0.2650787
1999-05-01,0.1478728,0.2518375
1999-06-01,0.6236798,0.1413369
1999-07-01,0.3943576,0.4020294
1999-08-01,0.5216822,0.1447233
1999-09-01,0.7032515,0.1576415
1999-10-01,0.2855048,0.276654
1999-11-01,0.9419093,0.2387827
1999-12-01,0.5235083,0.4245446
2000-01-01,0.057256,0.2829417
2000-02-01,0.1351202,0.1329928
2000-03-01,1.0218073,0.1722864
2000-04-01,-0.0739838,0.1713109
2000-05-01,0.7414436,0.0930103
2000-06-01,0.3851671,0.0705487
2000-07-01,0.3989126,0.0244091
2000-08-01,0.5135248,0.1348207
2000-09-01,0.1186804,0.2832758
2000-10-01,0.2148088,0.155831
2000-11-01,0.0487526,0.2430429
2000-12-01,0.1123596,0.3262689
2001-01-01,-0.1331056,-0.1717291
2001-02-01,-0.1612543,-0.0705212
2001-03-01,0.0558622,0.0322444
2001-04-01,-0.0137992,0.2254202
2001-05-01,0.329281,0.1600349
2001-06-01,-0.0532959,-0.1586946
2001-07-01,-0.1536743,0.1593637
2001-08-01,0.3776734,0.0147183
2001-09-01,-0.4803028,0.1624261
2001-10-01,0.4399679,0.0273792
2001-11-01,0.5303526,0.0894311
2001-12-01,-0.2120919,-0.1649091
2002-01-01,1.109531,0.3881376
2002-02-01,0.5285966,0.1263861
2002-03-01,-0.1148508,0.4490395
2002-04-01,0.6933376,0.4055166
